,score,metric,model
0,0.8217374213836478,AUC,Solubility
1,0.855503144654088,AUC,Solubility
2,0.8244047619047619,AUC,Solubility
3,0.8191666666666666,AUC,Solubility
4,0.8387902330743618,AUC,Solubility
5,0.8436261296971619,AUC,Solubility
6,0.7553115585856984,AUC,Solubility
7,0.8265022990328206,AUC,Solubility
8,0.8583716505470114,AUC,Solubility
9,0.8383542096083717,AUC,Solubility
0,0.7622950819672132,F1,Solubility
1,0.7950819672131147,F1,Solubility
2,0.7521367521367521,F1,Solubility
3,0.7782426778242678,F1,Solubility
4,0.7883817427385893,F1,Solubility
5,0.7950819672131147,F1,Solubility
6,0.6926406926406927,F1,Solubility
7,0.7661290322580645,F1,Solubility
8,0.7692307692307693,F1,Solubility
9,0.7965367965367964,F1,Solubility
0,0.7300884955752213,ACC,Solubility
1,0.7920353982300885,ACC,Solubility
2,0.7111111111111111,ACC,Solubility
3,0.7777777777777778,ACC,Solubility
4,0.7733333333333333,ACC,Solubility
5,0.7777777777777778,ACC,Solubility
6,0.6844444444444444,ACC,Solubility
7,0.7466666666666667,ACC,Solubility
8,0.7733333333333333,ACC,Solubility
9,0.7777777777777778,ACC,Solubility
0,0.7287735849056604,BACC,Solubility
1,0.7856918238993711,BACC,Solubility
2,0.7291666666666666,BACC,Solubility
3,0.7708333333333333,BACC,Solubility
4,0.7718011732995085,BACC,Solubility
5,0.7382670049151736,BACC,Solubility
6,0.6946250198192485,BACC,Solubility
7,0.7293483431108292,BACC,Solubility
8,0.8011336610115745,BACC,Solubility
9,0.79221499920723,BACC,Solubility
0,0.75,Precision,Solubility
1,0.8048780487804879,Precision,Solubility
2,0.7631578947368421,Precision,Solubility
3,0.7642276422764228,Precision,Solubility
4,0.768595041322314,Precision,Solubility
5,0.7615384615384615,Precision,Solubility
6,0.717948717948718,Precision,Solubility
7,0.746031746031746,Precision,Solubility
8,0.8214285714285714,Precision,Solubility
9,0.8035714285714286,Precision,Solubility
0,0.775,Recall,Solubility
1,0.8,Recall,Solubility
2,0.7,Recall,Solubility
3,0.775,Recall,Solubility
4,0.773109243697479,Recall,Solubility
5,0.8235294117647058,Recall,Solubility
6,0.7226890756302521,Recall,Solubility
7,0.7899159663865546,Recall,Solubility
8,0.773109243697479,Recall,Solubility
9,0.773109243697479,Recall,Solubility
